                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.0019,                0.67786,                 1.0588,                0.82611,                0.82314,                 0.8751,                0.60629,                 1.0947,                0.75991,                 1.0814,              0.0011059,              0.0011059,              0.0011059
                     36,                0.99042,                0.67677,                 1.0566,                0.82568,                0.80099,                 0.8633,                0.58206,                 1.1302,                0.80532,                 1.1103,              0.0010894,              0.0010894,              0.0010894
                     37,                0.99522,                0.66808,                 1.0544,                 0.8299,                0.81763,                0.88728,                0.61239,                 1.1161,                0.73741,                 1.0789,              0.0010729,              0.0010729,              0.0010729
                     38,                 0.9936,                 0.6623,                 1.0557,                0.79907,                0.84161,                0.86229,                0.59219,                 1.0921,                0.72786,                 1.0731,              0.0010564,              0.0010564,              0.0010564
                     39,                0.98013,                0.65986,                 1.0501,                0.82659,                0.78443,                0.83633,                0.57209,                   1.11,                0.77083,                 1.0886,              0.0010399,              0.0010399,              0.0010399
                     40,                0.98807,                 0.6707,                 1.0528,                 0.8186,                0.80428,                0.86851,                0.59791,                 1.0702,                 0.7295,                 1.0704,              0.0010234,              0.0010234,              0.0010234
                     41,                0.97197,                0.66193,                 1.0438,                0.83914,                0.80485,                0.87654,                0.59474,                 1.1082,                 0.7449,                 1.0809,              0.0010069,              0.0010069,              0.0010069
                     42,                0.98365,                0.65208,                 1.0443,                0.82151,                0.84245,                0.87438,                0.60565,                 1.0679,                0.73428,                 1.0729,             0.00099036,             0.00099036,             0.00099036
                     43,                0.96622,                0.62434,                 1.0391,                0.81392,                0.80196,                0.85423,                0.55675,                 1.1644,                0.78469,                 1.1135,             0.00097386,             0.00097386,             0.00097386
                     44,                0.96855,                0.65114,                 1.0384,                0.82103,                0.81225,                0.86893,                0.57381,                 1.1177,                0.75553,                 1.0969,             0.00095736,             0.00095736,             0.00095736
                     45,                0.94676,                0.62595,                 1.0282,                0.81139,                0.82839,                0.86672,                0.60235,                 1.0811,                0.73661,                 1.0764,             0.00094085,             0.00094085,             0.00094085
                     46,                0.96185,                0.63821,                 1.0335,                0.83642,                0.80816,                0.86307,                0.59976,                 1.0972,                 0.7541,                 1.0852,             0.00092435,             0.00092435,             0.00092435
                     47,                0.95832,                0.62148,                 1.0353,                0.82943,                0.82196,                0.87297,                0.60358,                 1.0837,                0.72672,                 1.0772,             0.00090785,             0.00090785,             0.00090785
                     48,                0.95608,                 0.6305,                 1.0329,                0.84354,                0.80484,                0.88362,                0.61408,                 1.0896,                0.72163,                 1.0785,             0.00089134,             0.00089134,             0.00089134
                     49,                 0.9547,                0.62191,                 1.0345,                0.87479,                0.78409,                0.87993,                0.60539,                 1.0996,                 0.7292,                 1.0861,             0.00087484,             0.00087484,             0.00087484
                     50,                0.94669,                0.61388,                 1.0248,                 0.8472,                0.81579,                0.87683,                0.60621,                 1.0874,                0.70197,                  1.068,             0.00085834,             0.00085834,             0.00085834
                     51,                0.94179,                0.62058,                 1.0209,                0.83933,                0.83165,                0.88609,                0.61357,                 1.0608,                0.70382,                 1.0805,             0.00084184,             0.00084184,             0.00084184
                     52,                0.91984,                0.58791,                 1.0218,                  0.818,                0.85287,                0.89117,                0.62204,                 1.0704,                 0.6893,                 1.0708,             0.00082533,             0.00082533,             0.00082533
                     53,                0.93926,                0.60932,                 1.0217,                0.81491,                0.82223,                0.87212,                0.60675,                 1.0821,                0.72583,                 1.0673,             0.00080883,             0.00080883,             0.00080883
                     54,                0.93367,                0.59181,                  1.025,                0.85562,                0.81776,                0.87769,                 0.6149,                 1.0707,                0.68791,                 1.0578,             0.00079233,             0.00079233,             0.00079233
